full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
SrpGitHub-1994/skinet,False,True,False,False,False,False,False,False
Stefan-Allen/CO550,False,True,False,False,False,False,False,False
Steffany-Barbosa/estrutura-da-Api--metodo-Get,False,True,False,False,False,False,False,False
Steinvorth/IntrC-sharpAPI,False,True,False,False,False,False,False,False
SteliosVakoufis/KEDIVIM,False,True,False,False,False,False,False,False
Stelorr/simple-chef,False,True,False,False,False,False,False,False
SteveKameron/CSsem1,False,True,False,False,False,False,False,False
Steven2110/932001.Vidjaya.Steven.Weblab,False,True,False,False,False,False,False,False
StevenMM23/DatingApp,False,True,False,False,False,False,False,False
StormShadonw/security-.net-core-6,False,True,False,False,False,False,False,False
StrongMind/technical-excellence-exercises,False,True,False,False,False,False,False,False
StyraInc/academy-samples,True,False,False,False,False,False,False,False
StyraInc/enterprise-opa,True,False,False,False,False,False,False,False
StyraInc/graphql-apollo-example,True,False,False,False,False,False,False,False
StyraInc/lib.jwt,True,False,False,False,False,False,False,False
StyraInc/opa-aws-cloudformation-hook,True,False,False,False,False,False,False,False
StyraInc/opa-csharp,True,False,False,False,False,False,False,False
StyraInc/opa-java,True,False,False,False,False,False,False,False
StyraInc/opa-java-wasm,True,False,False,False,False,False,False,False
StyraInc/opa-sdk-demos,True,False,False,False,False,False,False,False
StyraInc/regal,True,False,False,False,False,False,False,False
StyraInc/rego-cheat-sheet,True,False,False,False,False,False,False,False
StyraInc/styra-demo-tickethub,True,False,False,False,False,False,False,False
SuhaibK1/CIT242_FP,False,True,False,False,False,False,False,False
SumeyyeYuce/NBUY,False,True,False,False,False,False,False,False
Sunbird-AIAssistant/ai-bot-installer,True,False,False,False,False,False,False,False
Surabhi-26/PizzaStore.Net6,False,True,False,False,False,False,False,False
Suryash-00/Csharp.Net,False,True,False,False,False,False,False,False
SvetoslavUzunov/ChatApp,False,True,False,False,False,False,False,False
SyedShoaibAli074/SBODeskBase,False,True,False,False,False,False,False,False
Synteraction-Lab/GlassMessaging,False,True,False,False,False,False,False,False
Szarny/raspik8s,True,False,False,False,False,False,False,False
TANGO-EU-PROJECT/waltid-ssikit,True,False,False,False,False,False,False,False
TASTY-POINT/web-services,False,True,False,False,False,False,False,False
TEJAS12Oct/CDAC-IET,False,True,False,False,False,False,False,False
TELBC/DocsMan,False,True,False,False,False,False,False,False
TLphongNguyen/baitaplonBackend,False,True,False,False,False,False,False,False
TUP-FRC-UTN/2do-parcial-2w1_113191_Franco_Moises-,False,True,False,False,False,False,False,False
TaCqz/RESTaurant,False,True,False,False,False,False,False,False
TadasGliadkovskis/SOA-CA2,False,True,False,False,False,False,False,False
Tahsinoshin/TradingVIewAPI,False,True,False,False,False,False,False,False
TakashiYoshinaga/360VR-Unity-Sample,False,True,False,False,False,False,False,False
Takudzwamz/CommandsService,False,True,False,False,False,False,False,False
