full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
casc-devops/YBL-Sample-Project,False,True,False,False,False,False,False,False,1
catestbot/ACAGHATests,False,True,False,False,False,False,False,False,2
cbpalumbi/vr-version-history-demo,False,True,False,False,False,False,False,False,1
cch0/opa-wasm-examples,True,False,False,False,False,False,False,False,2
cderue/nis2-sentinel-policy,False,True,False,False,False,False,False,False,1
cdhqing/zadig,True,False,False,False,False,False,False,False,42
cdxvy30/foliage,True,False,False,False,False,False,False,False,2
cedricmoudze/Terraform-Learn,False,True,False,False,False,False,False,False,9
ceduardooliveira/Bootcamp-Xpinc-ASP.NET,False,True,False,False,False,False,False,False,1
celimlirecep2/SignalR,False,True,False,False,False,False,False,False,1
cesargtrr/atv-04,False,True,False,False,False,False,False,False,1
cesargtrr/atv-05,False,True,False,False,False,False,False,False,2
cescofors75/EAN-Product-Lookup-Web-Interface,False,True,False,False,False,False,False,False,2
cgbridgewater/C_Sharp,False,True,False,False,False,False,False,False,1
cgibbs-snyk/kubernetes-monitor,True,False,False,False,False,False,False,False,41
cgsyam/terraform-sentinel-gcp,False,True,False,False,False,False,False,False,1
chainloop-dev/chainloop,True,False,False,False,False,False,False,False,22
chaitin/veinmind-tools,True,False,False,False,False,False,False,False,14
chanchimetro/ApiPizzas,False,True,False,False,False,False,False,False,2
chanchimetro/Qatar2022-using-BD,False,True,False,False,False,False,False,False,1
chandu849/cloudL,True,False,False,False,False,False,False,False,2
charan121317/WorkSample-GSoft,False,True,False,False,False,False,False,False,2
charlesGOAT/bruh2,False,True,False,False,False,False,False,False,1
charlesmcchan/sdfabric-conftest,True,False,False,False,False,False,False,False,1
charlieegan3/opa-decision-log-test,True,False,False,False,False,False,False,False,1
charlieegan3/policing-christmas-trees,True,False,False,False,False,False,False,False,2
charlieegan3/tool-tsnet-proxy,True,False,False,False,False,False,False,False,1
charmon79/terraform-cloud-demo,False,True,False,False,False,False,False,False,1
chasinandrew/terraform-delegated-roles,False,True,False,False,False,False,False,False,1
chavo1/sentinel-policy-playground,False,True,False,False,False,False,False,False,1
chayaWakshtok/Recipe-site,False,True,False,False,False,False,False,False,1
chaymaster/SourceSDK2013-Swelter,False,True,False,False,False,False,False,False,4
chaypokuri/LogicApp,False,True,False,False,False,False,False,False,1
chef/automate,True,False,False,False,False,False,False,False,151
chihirotran/wnc,False,True,False,False,False,False,False,False,1
choria-io/aaasvc,True,False,False,False,False,False,False,False,6
choria-io/go-choria,True,False,False,False,False,False,False,False,20
chrisarcand/sentinel-policy-examples,False,True,False,False,False,False,False,False,1
chrisarcand/terraform-tests,False,True,False,False,False,False,False,False,2
chrismatteson/tfe-sentinel-policies,False,True,False,False,False,False,False,False,1
christianrolph/css551finalproject,False,True,False,False,False,False,False,False,2
christophermp/DotNetDemos,False,True,False,False,False,False,False,False,1
christophwille/dotnet-opa-wasm,True,False,False,False,False,False,False,False,2
chubozeko/AR-Maps,False,True,False,False,False,False,False,False,1
chuvanluan2211/rookies,False,True,False,False,False,False,False,False,1
chuysmans/tfe-governance,False,True,False,False,False,False,False,False,1
cicd-toolkit/helm-charts,True,False,False,False,False,False,False,False,1
cisagov/ScubaGear,True,False,False,False,False,False,False,False,28
cisagov/ScubaGoggles,True,False,False,False,False,False,False,False,16
cksidharthan/opa-blog,True,False,False,False,False,False,False,False,1
clacerda/GeekShoppingDotNetCore6,False,True,False,False,False,False,False,False,1
clarshad/demo,True,False,False,False,False,False,False,False,1
claudebamberger/claudebamberger,False,True,False,False,False,False,False,False,3
claytsay/Full-Life-The-RPG-Source-SDK-2013-,False,True,False,False,False,False,False,False,3
cleardataeng/resource-policy-evaluation-library,True,False,False,False,False,False,False,False,14
climbar-ai/AR-Climbing,False,True,False,False,False,False,False,False,2
clossmans2/friend-music-api,False,True,False,False,False,False,False,False,1
cloudacademy/Sentinel-Demo,False,True,False,False,False,False,False,False,1
cloudposse/atmos,True,False,False,False,False,False,False,False,49
cloudposse/terraform-provider-utils,True,False,False,False,False,False,False,False,9
cloudposse/terraform-spacelift-cloud-infrastructure-automation,True,False,False,False,False,False,False,False,19
cloudwithbright/azure-csharp,False,True,False,False,False,False,False,False,1
clupo/Dependatest2WithCentralPackages,False,True,False,False,False,False,False,False,3
cmlohr/blazor_sandbox,False,True,False,False,False,False,False,False,1
cncf-hacks/atlanticode,True,False,False,False,False,False,False,False,2
cneralich/tfe-demo,False,True,False,False,False,False,False,False,2
cneralich/updated-sentinel-policies,False,True,False,False,False,False,False,False,1
cnkml9/ApiGateway_1,False,True,False,False,False,False,False,False,1
codacy-open-source-projects-scans/trivy,True,False,False,False,False,False,False,False,3
codeacademyprogramming/P132_SignalR,False,True,False,False,False,False,False,False,1
coder-3000-e/EPC-Dashboard,False,True,False,False,False,False,False,False,1
codewithdebasis/csharcorner-blazor-series,False,True,False,False,False,False,False,False,1
codewithiulian/aspnet-core-idenitityapp-sample1,False,True,False,False,False,False,False,False,1
coding-to-music/transit-lang-cmp-mbta-gtfs-webserver-k6,False,True,False,False,False,False,False,False,2
cognitiveux/creams-public,False,True,False,False,False,False,False,False,2
colinjturney/vault-sentinel-auth-nets,False,True,False,False,False,False,False,False,2
colinjturney/vault-sentinel-auth-ttl,False,True,False,False,False,False,False,False,2
colinjturney/vault-sentinel-example,False,True,False,False,False,False,False,False,2
com-480-data-visualization/datavis-project-2022-mrviz,False,True,False,False,False,False,False,False,4
concesar12/Asp.net_Projects,False,True,False,False,False,False,False,False,1
concourse/concourse,True,False,False,False,False,False,False,False,559
confidential-containers/cloud-api-adaptor,True,False,False,False,False,False,False,False,63
confidential-containers/trustee,True,False,False,False,False,False,False,False,52
