full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
0xharshrastogi/Cognizant-Genc-Next-.NET,False,True,False,False,False,False,False,False
0xrutvij/SlothSpeech,False,True,False,False,False,False,False,False
113493-Grecco-Daniel/daniel-map-marcadores-Backend,False,True,False,False,False,False,False,False
113843-Decicco-Giovanni/tpi-marcadores-leg-113843-Decicco-Ominetti-Giovanni,False,True,False,False,False,False,False,False
12ashu12/CaltechCloudcomputing,False,True,False,False,False,False,False,False
13101989/csharp_dotnet,False,True,False,False,False,False,False,False
156-Innova-Net-Bootcamp-Patika-dev/06-FurkanAdemoglu,False,True,False,False,False,False,False,False
159753marcelo/Atividade05_4e,False,True,False,False,False,False,False,False
159753marcelo/Atividade3_04C,False,True,False,False,False,False,False,False
159753marcelo/Atividade4_04d,False,True,False,False,False,False,False,False
16SULPHUR/Code-Backups,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/Hafta2_2_sadettinecevit,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/hafta2_1-sercaniyili,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/hafta2_1-sumeyramzrak,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/hafta2_2-mertbayraktar335,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/hafta2_2-sercaniyili,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/hafta2_2-sumeyramzrak,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/hafta4-ahmet-us,False,True,False,False,False,False,False,False
186-Teleperformans-Net-Bootcamp/melihozaslanhafta2_2,False,True,False,False,False,False,False,False
195-Patika-Dev-Paycore-Net-Bootcamp/Dogukan_Kisecuklu_Odev1,False,True,False,False,False,False,False,False
195-Patika-Dev-Paycore-Net-Bootcamp/Veli_Erdem_Coskun_Hafta_1,False,True,False,False,False,False,False,False
195-Patika-Dev-Paycore-Net-Bootcamp/assignment-2-gizemakturk,False,True,False,False,False,False,False,False
195-Patika-Dev-Paycore-Net-Bootcamp/assignment-2-misunderstoodreamer,False,True,False,False,False,False,False,False
195-Patika-Dev-Paycore-Net-Bootcamp/assignment-4-gizemakturk,False,True,False,False,False,False,False,False
195-Patika-Dev-Paycore-Net-Bootcamp/gokay_urenc_hafta1,False,True,False,False,False,False,False,False
1Gura/TodoApi,False,True,False,False,False,False,False,False
1upD/propper-2013,False,True,False,False,False,False,False,False
1x-eng/opal-policy,True,False,False,False,False,False,False,False
220307-UTA-NET/AnuAnil43,False,True,False,False,False,False,False,False
220307-UTA-NET/KevinL,False,True,False,False,False,False,False,False
220926NET/Emmanuel-Morales-Code,False,True,False,False,False,False,False,False
2236721325/Learning,False,True,False,False,False,False,False,False
241-Papara-Net-Core-Bootcamp/DenizBurcuAydin-Week3-Homework,False,True,False,False,False,False,False,False
241-Papara-Net-Core-Bootcamp/DenizBurcuAydin-Week4-Homework,False,True,False,False,False,False,False,False
278-Sipay/assignment-1-aysegul-sofuoglu,False,True,False,False,False,False,False,False
2lambda123/MRDL_Unity_PeriodicTable,False,True,False,False,False,False,False,False
2lambda123/SAP-InfraBox,True,False,False,False,False,False,False,False
2lambda123/aquasecurity-trivy,True,False,False,False,False,False,False,False
2lambda123/kics,True,False,False,False,False,False,False,False
2lambda123/tracee,True,False,False,False,False,False,False,False
2lambda123/trivy,True,False,False,False,False,False,False,False
2lambda123/wsp-digital-dtvutilities-magda,True,False,False,False,False,False,False,False
3DebbieChen9/SMF_HW5,False,True,False,False,False,False,False,False
3scale-labs/kiper,True,False,False,False,False,False,False,False
404954-TomasRivetta/Api-Cine,False,True,False,False,False,False,False,False
404954-TomasRivetta/Api-Cine-ProgII,False,True,False,False,False,False,False,False
42dev-co/otf-aws-networking,True,False,False,False,False,False,False,False
49-3/hashiqube,False,True,False,False,False,False,False,False
