full_name,HashiCorp Sentinel,Open Policy Agent (OPA),Pulumi,Cedar Policy Language (CPL),Kyverno OSS,Cloud Custodian,AWS Config,OpagateKeeper,Kubewarden
Azure__aks-engine-azurestack,0,0,0,0,0,0,0,1,0
Azure__ARO-RP,0,11,0,0,0,0,0,7,0
Azure__ato-toolkit,0,0,0,0,0,0,0,0,0
Azure__azure-policy,0,9,0,0,0,0,0,71,0
Azure__azure-remote-rendering,4,0,0,0,0,0,0,0,0
Azure__AzureDefender-K8S-InClusterDefense,0,2,0,0,0,0,0,3,0
Azure__Community-Policy,0,26,0,0,0,0,0,18,0
Azure__draft,0,0,0,0,0,0,0,24,0
Azure__sg-aks-workshop,0,0,0,0,0,0,0,1,0
Azure__ShieldGuard,0,11,0,0,0,0,0,0,0
babywyrm__sysadmin,0,0,0,0,2,0,0,2,0
bacalhau-project__bacalhau,0,12,0,0,0,0,0,0,0
bacen__pix-dict-api,0,0,0,0,0,1,0,0,0
bachingo__TF2Vintage,6,0,0,0,0,0,0,0,0
back-stack__everything-as-code,0,0,0,0,5,0,0,0,0
badri-k7__aws-devops,0,0,0,0,1,0,0,0,0
balningau__gimste,0,0,0,0,0,1,0,0,0
banzaicloud__pipeline,0,0,0,0,1,0,0,0,0
baptistelabat__frydom,0,0,0,1,0,0,0,0,0
barringtonhaynes__lambda-extension-opa,0,1,0,0,0,0,0,0,0
bcgov__bcbox,0,0,0,0,0,1,0,0,0
bcgov__ckanext-bcgov-schema,0,0,0,0,0,1,0,0,0
bcgov__common-hosted-email-service,0,0,0,0,0,1,0,0,0
bcgov__MFIN-Data-Catalogue,0,0,0,0,0,6,0,0,0
bcgov__nr-forests-access-management,0,0,0,0,0,1,0,0,0
bcgov__pubcode,0,0,0,0,0,2,0,0,0
Bearer__bearer,0,6,0,0,0,0,0,0,0
beiciliang__aws-bootcamp-cruddur-2023,0,0,0,0,0,0,2,0,0
BeryJu__k8s,0,0,0,0,1,0,0,0,0
besley__Slickflow,2,0,0,0,0,0,0,0,0
bikram20__opa-gatekeeper-examples,0,0,0,0,0,0,0,2,0
binxio__aws-cfn-update,0,0,0,0,0,0,1,0,0
bioinformatics-ua__montra,0,0,0,0,0,2,0,0,0
blockchain-working-group__blockchain-playbook,0,0,0,0,0,1,0,0,0
bluprince13__notesapp,0,0,0,2,0,0,0,0,0
bmeg__bmeg-etl,0,0,0,0,0,2,0,0,0
bmeg__iceberg,0,0,0,0,0,5,0,0,0
bmuschko__cks-crash-course,0,0,0,0,0,0,0,1,0
boostsecurityio__poutine,0,27,0,0,0,0,0,0,0
borgeby__jarl,0,12,0,0,0,0,0,0,0
boyism80__fb,0,0,10,0,0,0,0,0,0
BrunoReboul__ram-config-template,0,48,0,0,0,0,0,0,0
BrunoReboul__terraform-google-realtime-asset-monitor,0,3,0,0,0,0,0,0,0
btkrausen__hashicorp,2,2,0,0,0,0,0,0,0
build-on-aws__bookstore-demo-app-with-authz,0,0,0,1,0,0,0,0,0
busraylmz__DeepLearningModelVisualization,2,0,0,0,0,0,0,0,0
buttahtoast__helm-charts,0,0,0,0,0,0,0,1,0
buvis__clusters,0,0,0,0,6,0,0,0,0
C0nsultant__homelab-as-code,0,0,0,0,3,0,0,0,0
C5T__asbyrgi,0,21,0,0,0,0,0,0,0
Calvitix__Stellaris-French-Translation-Pack,0,0,0,0,0,21,0,0,0
canonical__snapd,0,0,0,0,0,6,0,0,0
Capstone-Projects-2022-Spring__project-anemone,0,0,0,0,0,0,0,0,0
carbonetes__brainiac,0,2916,0,0,0,0,0,0,0
CBIIT__icdc-devops,0,0,0,0,0,6,0,0,0
cdklabs__cdk-validator-cfnguard,0,0,0,0,0,0,238,0,0
cdklabs__cdk-verified-permissions,0,0,0,7,0,0,0,0,0
cedar-policy__cedar,0,0,0,66,0,0,0,0,0
cedar-policy__cedar-examples,0,4,0,25,0,0,0,0,0
cedar-policy__cedar-integration-tests,0,0,0,22,0,0,0,0,0
cedar-policy__cedar-java,0,0,0,6,0,0,0,0,0
cedar-policy__cedar-local-agent,0,0,0,12,0,0,0,0,0
cedar-policy__cedar-spec,0,0,0,1,0,0,0,0,0
cedar-policy__highlightjs-cedar,0,0,0,12,0,0,0,0,0
cedar-policy__prism-cedar,0,0,0,12,0,0,0,0,0
cedar-policy__rfcs,0,0,0,2,0,0,0,0,0
cedar-policy__vscode-cedar,0,0,0,17,0,0,0,0,0
celesrenata__nixos-k3s-configs,0,0,0,0,2,0,0,0,0
celest-dev__cedar-dart,0,0,0,2,0,0,0,0,0
celest-dev__celest,0,0,0,5,0,0,0,0,0
ch-stark__governance-best-practises-for-apps,0,0,0,0,51,0,0,0,0
ch-stark__maptoseveralstandards,0,0,0,0,29,0,0,0,0
ch-stark__policies-demo,0,0,0,0,0,0,0,1,0
ch-stark__policies-demo-blog,0,0,0,0,0,0,0,7,0
chaijunkin__home-ops,0,0,0,0,3,0,0,0,0
chainloop-dev__chainloop,0,18,0,0,0,0,0,0,0
chaitin__veinmind-tools,0,55,0,0,0,0,0,0,0
charlieegan3__policing-christmas-trees,0,11,0,0,0,0,0,0,0
charmed-kubernetes__jenkins,0,0,0,0,0,0,0,1,0
chaymaster__SourceSDK2013-Swelter,8,0,0,0,0,0,0,0,0
Checkmarx__kics,0,1754,0,0,0,0,5,0,0
chef__automate,0,6,0,0,0,0,0,0,0
CHERIoT-Platform__network-stack,0,1,0,0,0,0,0,0,0
chipzoller__kyverno-pss,0,0,0,0,21,0,0,0,0
choria-io__aaasvc,0,6,0,0,0,0,0,0,0
choria-io__go-choria,0,15,0,0,0,0,0,0,0
chrisarcand__terraform-tests,5,0,0,0,0,0,0,0,0
chrisns__k8s-opa-boilerplate,0,2,0,0,0,0,0,2,0
christophwille__dotnet-opa-wasm,0,7,0,0,0,0,0,0,0
Cigna__confectionery,0,202,0,0,0,0,0,0,0
cioos-atlantic__metadata-waf,0,0,0,0,0,192,0,0,0
CircleCI-Public__circle-policy-agent,0,27,0,0,0,0,0,0,0
CircleCI-Public__circleci-cli,0,6,0,0,0,0,0,0,0
cisagov__ScubaGear,0,64,0,0,0,0,0,0,0
cisagov__ScubaGoggles,0,80,0,0,0,0,0,0,0
cisco-kusanagi__mibs.snmplabs.com,0,0,0,0,0,0,1,0,0
CiscoDevNet__sdwan-devops,0,1,0,0,0,0,0,0,0
cjoster__engagementstuff,0,0,0,0,0,0,0,7,0
claughinghouse__k8s-gitops,0,0,0,0,3,0,0,0,0
claytsay__Full-Life-The-RPG-Source-SDK-2013-,27,0,0,0,0,0,0,0,0
cleardataeng__resource-policy-evaluation-library,0,77,0,0,0,0,0,0,0
cloud-custodian__cloud-custodian,0,0,0,0,0,93,5,0,0
cloud-custodian__helm-charts,0,0,0,0,0,11,0,0,0
cloudavail__snippets,0,0,0,0,8,0,0,0,0
Cloudflare-Mining__Cloudflare-Datamining,0,0,0,0,0,0,0,0,0
cloudify-community__eaas-example,0,0,0,0,2,0,0,0,0
cloudkats__docker-tools,0,0,0,0,0,0,0,0,0
CloudNativeGBB__cluster-baseline,0,6,0,0,0,0,0,4,0
cloudnativehero__cks-prep,0,3,0,0,0,0,0,5,0
cloudposse__atmos,0,8,0,0,0,0,0,0,0
cloudposse__terraform-provider-utils,0,5,0,0,0,0,0,0,0
cloudposse__terraform-spacelift-cloud-infrastructure-automation,0,18,0,0,0,0,0,0,0
cloudwu__stellaris_cn,0,0,0,0,0,29,0,0,0
cncf__devstats,0,0,0,0,0,2,0,0,0
cncf__landscape2-sites,0,0,0,0,0,0,0,0,0
CoderSaiya__BE_XDPMHDT,1,0,0,0,0,0,0,0,0
Coit-IO__coit-simple-microservice,0,0,0,0,3,0,0,0,0
commercialhaskell__all-cabal-metadata,0,0,0,0,0,2,0,0,0
common-fate__cedar-validate-action,0,0,0,2,0,0,0,0,0
ComradDoge__DogeEU4,0,0,0,0,0,14,0,0,0
concourse__concourse,0,1,0,0,0,0,0,0,0
confidential-containers__cloud-api-adaptor,0,0,0,0,0,0,0,0,0
confidential-containers__trustee,0,19,0,0,0,0,0,0,0
confluentinc__policy-library-confluent-terraform,45,0,0,0,0,0,0,0,0
ContainerSSH__examples,0,2,0,0,0,0,0,0,0
controlplaneio-fluxcd__d1-infra,0,0,0,0,2,0,0,0,0
controlplaneio__collie,0,0,0,0,16,1,0,0,0
controlplaneio__simulator,0,0,0,0,10,0,0,0,0
controlplaneio__threat-modelling-labs,0,4,0,0,0,0,0,2,0
controlplaneio__threat-modelling-zero-trust-talk,0,1,0,0,1,0,0,0,0
copslock__cisco-kusanagi_mibs.snmplabs.com,0,0,0,0,0,0,1,0,0
couchbase__perfrunner,0,0,0,0,2,0,0,0,0
courselabs__kubernetes,0,0,0,0,0,0,0,3,0
crag-h4k__gud-vim,0,2,0,0,0,0,0,0,0
credbull__credbull-defi,0,0,0,0,0,0,0,0,0
crossplane-contrib__crossplane-cdk8s,0,0,0,0,2,0,0,0,0
crossplane-contrib__provider-aws,0,0,0,0,3,0,0,0,0
crossplane-contrib__provider-upjet-aws,0,0,0,0,9,0,0,0,0
crossplane__tbs,0,1,0,0,2,0,0,3,0
CrowdStrike__cloud-pov,0,0,0,0,1,0,0,0,0
CrunchyData__postgres-operator,0,0,0,0,2,0,0,0,0
cvat-ai__cvat,0,24,0,0,0,0,0,0,0
CvGC__dict,0,0,0,0,0,2,0,0,0
Cxs1103__Kubernetes.config,0,4,0,0,8,0,0,2,0
CZERTAINLY__CZERTAINLY-Auth-OPA-Policies,0,2,0,0,0,0,0,0,0
D-Kumar19__RegoPoilicies-Open-Policy-Agent,0,9,0,0,0,0,0,0,0
dadrus__heimdall,0,1,0,0,0,0,0,0,0
dany002__UBB-Computer-Science,2,0,0,0,0,0,0,0,0
danzim__prometheus-provider,0,0,0,0,0,0,0,1,0
DaoCloud__dce-charts-repackage,0,3,0,0,3,0,0,0,0
DataBassGit__AssistAF,0,0,0,0,0,1,0,0,0
DataBiosphere__consent,0,0,0,0,0,2,0,0,0
DataDog__kics,0,1809,0,0,0,0,5,0,0
DataDog__security-agent-policies,0,98,0,0,0,0,0,0,0
datadrivers__opa-policies,0,22,0,0,0,0,0,5,0
datreeio__CRDs-catalog,0,0,0,0,1,0,0,0,0
davidclin__cloudcustodian-policies,0,0,0,0,0,46,0,0,0
davidfox87__crossplane-eks-argocd-mlops,0,0,0,0,1,0,0,0,0
DavidGitter__nifi-opa-plugin,0,7,0,0,0,0,0,0,0
davralin__cluster-ops,0,0,0,0,1,0,0,0,0
DawnbrandBots__yaml-yugipedia,0,0,0,0,0,0,0,0,0
DeadZoneLuna__css-community,3,0,0,0,0,0,0,0,0
deanhouaripower__TF-sentinel-lab,8,0,0,0,0,0,0,0,0
deckhouse__deckhouse,0,0,0,0,0,0,0,39,0
deepin-community__python-redis,1,0,0,0,0,0,0,0,0
defenseunicorns__lula,0,4,0,0,0,2,0,0,0
dejanb__guac-provider,0,0,0,0,0,0,0,2,0
deliciousmods__1956_beta,0,0,0,0,0,3,0,0,0
deliveryhero__helm-charts,0,6,0,0,0,0,0,0,0
dell__helm-charts,0,18,0,0,0,0,0,0,0
dell__karavi-authorization,0,8,0,0,0,0,0,0,0
demiban__pulumi-localstack-lambda-example,0,0,1,0,0,0,0,0,0
denniszielke__container_demos,0,5,0,0,0,0,0,2,0
department-of-veterans-affairs__vets-website,0,0,0,0,0,0,0,0,0
deployKF__deployKF,0,0,0,0,15,0,0,0,0
devantler-tech__platform,0,0,0,0,440,0,0,0,0
developer-guy__container-image-sign-and-verify-with-cosign-and-opa,0,1,0,0,0,0,0,0,0
developer-guy__policy-as-code-war,0,0,0,0,3,0,0,2,0
devops-adeel__terraform-vault-secrets-transit,10,0,0,0,0,0,0,0,0
devopscert202__k8sforbeginners,0,0,0,0,0,0,0,1,0
DevOpsRunbook__FastCampus,0,0,0,0,0,0,0,3,0
devopstales__k8s_sec_lab,0,0,0,0,4,0,0,0,0
devopstales__trivy-operator,0,0,0,0,3,0,0,0,0
DevSlop__k8ctf,0,0,0,0,0,0,0,3,0
devspace-cloud__devspace-cloud,0,12,0,0,0,0,0,0,0
devtron-labs__utilities,0,0,0,0,4,0,0,0,0
devxp-tech__gitops,0,0,0,0,1,0,0,0,0
dfds__dojo,1,0,0,0,0,0,0,0,0
dhruv-tailor__excelmakesbelhappypack,0,0,0,0,0,7,0,0,0
diranetafen__cursus-devops,0,0,0,0,1,0,0,0,0
dirien__pulumi-scaleway,0,0,834,0,0,0,0,0,0
DiscoverAI__sars-cov-2-drug-design,0,0,0,0,1,0,0,0,0
dmwm__CMSKubernetes,0,0,0,0,0,0,0,38,0
dnsimple__dnsimple-api-examples,1,0,0,0,0,0,0,0,0
DoD-Platform-One__Kyverno-Policies,0,0,0,0,53,0,0,0,0
DoW-Gray__TemTem,0,0,0,0,0,0,0,0,0
DownFall-Team__DownFall,2,0,0,0,0,0,0,0,0
DragonPomelo__trino-opa-example,0,25,0,0,0,0,0,0,0
Dukksa__Gekko-V9,0,0,0,0,0,11,0,0,0
duneanalytics__spellbook,0,0,0,0,0,1,0,0,0
EaW-Team__equestria_dev,0,0,0,0,0,15,0,0,0
Eclipse-Station__NEV-Northern-Light,0,0,0,0,0,4,0,0,0
eclipse-symphony__symphony,0,0,0,0,0,0,0,1,0
eclipse-tractusx__portal,0,0,0,0,0,9,0,0,0
eclipse-tractusx__sd-factory,0,0,0,0,0,6,0,0,0
edgelesssys__contrast,0,4,0,0,0,0,0,0,0
edgelesssys__uplosi,0,1,0,0,0,0,0,0,0
educates__educates-training-platform,0,0,0,0,3,0,0,0,0
eksctl-io__eksctl,0,0,0,0,3,0,2,0,0
elastic__cloud-on-k8s,0,0,0,0,3,0,0,0,0
elastic__cloudbeat,0,762,0,0,0,0,0,0,0
elastic__csp-security-policies,0,676,0,0,0,0,0,0,0
elastic__harp,0,4,0,0,0,0,0,0,0
elastisys__compliantkubernetes-apps,0,22,0,0,5,0,0,30,0
element-hq__matrix-authentication-service,0,11,0,0,0,0,0,0,0
elifesciences__elife-flux-cluster,0,0,0,0,2,0,0,0,0
EmbarkStudios__opa-policies,0,161,0,0,0,0,0,0,0
enterprise-contract__ec-cli,0,35,0,0,0,0,0,0,0
enterprise-contract__ec-policies,0,142,0,0,0,0,0,0,0
env0__acme-demo,0,1674,2,0,0,0,5,0,0
env0__acme-fitness,0,4,0,0,0,0,0,0,0
env0__templates,0,3,3,0,0,0,0,0,0
EOL__deprecated_eol,0,0,0,0,0,1,0,0,0
epam__aws-ci-cd-accelerator,0,0,0,0,0,1,0,0,0
erkules__k8sworkshop,0,0,0,0,18,0,0,10,0
ernado__oss-estimator,0,0,0,0,0,2,0,0,0
exploreGit-Ops__infra-repo,0,0,0,0,0,0,0,2,0
fabianlee__blogcode,0,0,0,0,2,0,0,0,0
factset__enterprise-sdk,0,0,0,0,0,3,0,0,0
FairwindsOps__insights-cli,0,10,0,0,0,0,0,0,0
felixzhu1989__YangZhongkeDotNet,24,0,0,0,0,0,0,0,0
FernandoCalmet__design-patterns,4,0,0,0,0,0,0,0,0
fhir-ru__core,0,0,0,0,0,15,0,0,0
fhir-ru__zendoc,0,0,0,0,0,3,0,0,0
fischerscode__my-k3s,0,0,0,0,1,0,0,0,0
fits__try_samples,0,0,4,0,0,0,0,0,0
fiverr__fiverr.github.io,0,0,0,0,0,1,0,0,0
FIWARE-Ops__batterypass-demonstrator,0,0,0,0,0,6,0,0,0
FIWARE__keycloak-vc-issuer,0,0,0,0,0,1,0,0,0
fjudith__saltstack-kubernetes,0,0,0,0,0,0,0,2,0
flatt-security__shisho-cloud-managed-workflows,0,666,0,0,0,0,0,0,0
fleetdm__fleet,0,2,0,0,0,0,0,0,0
fluxcd__flux2-multi-tenancy,0,0,0,0,2,0,0,0,0
forbole__soljuno,0,0,0,0,0,1,0,0,0
Force-Attack__Force-Attack,0,0,0,0,0,4,0,0,0
fraineralex__RealEstate-App,2,0,0,0,0,0,0,0,0
frozenmistadventure__fmetp_tutorial_hololens2_stream,6,0,0,0,0,0,0,0,0
fugue__custom-rules,0,44,0,0,0,0,0,0,0
fugue__fregot,0,131,0,0,0,0,0,0,0
functionless__nodejs-closure-serializer,0,0,2,0,0,0,0,0,0
fybrik__airbyte-module,0,3,0,0,0,0,0,0,0
g0pinath__k8s-core-infra,0,0,0,0,0,0,0,21,0
gardener__gardener,0,0,0,0,4,4,0,0,0
gbif-norway__ChatIPT,0,0,0,0,0,2,0,0,0
gbrindisi__dockerfile-security,0,1,0,0,0,0,0,0,0
Geeks-Academy__terraform,2,0,0,0,0,0,0,0,0
GeoscienceAustralia__dea-knowledge-hub,0,0,0,0,0,77,0,0,0
getgrit__gritql,0,0,0,0,0,3,0,0,0
ggreen__spring-geode-showcase,1,0,0,0,0,0,0,0,0
ghostunnel__ghostunnel,0,3,0,0,0,0,0,0,0
ghumman__iqbal-demystified-web,0,0,0,0,0,9,0,0,0
gianluca-moro__SeeingTemperature,4,0,0,0,0,0,0,0,0
github__codeql,0,0,0,0,0,1,0,0,0
gmagella-ca__custodian-pipeline,0,0,0,0,0,3,0,0,0
GoogleCloudPlatform__anthos-config-management-samples,0,0,0,0,0,0,0,6,0
GoogleCloudPlatform__click-to-deploy,0,0,0,0,0,0,0,1,0
GoogleCloudPlatform__config-validator,0,2,0,0,0,0,0,6,0
GoogleCloudPlatform__pbmm-on-gcp-onboarding,0,3,0,0,0,0,0,81,0
GoogleCloudPlatform__policy-library,0,174,0,0,0,0,0,99,0
GoogleCloudPlatform__professional-services,0,8,0,0,0,0,0,6,0
GoogleCloudPlatform__pubsec-declarative-toolkit,0,0,0,0,0,0,0,11,0
GoogleCloudPlatform__solution-acceleration-toolkit,0,3,0,0,0,0,0,95,0
GoogleCloudPlatform__terraform-google-enterprise-genai,0,0,0,0,0,0,0,0,0
GoogleCloudPlatform__terraform-google-secured-data-warehouse,0,3,0,0,0,0,0,81,0
GoogleCloudPlatform__workload-manager,0,164,0,0,0,0,0,0,0
GoogleContainerTools__kpt-config-sync,0,0,0,0,0,0,0,11,0
GoogleContainerTools__kpt-functions-catalog,0,0,0,0,0,0,0,8,0
GoogleContainerTools__kpt-functions-sdk,0,0,0,0,0,0,0,1,0
google__gke-policy-automation,0,187,0,0,0,0,0,0,0
google__oss-fuzz,0,0,0,0,0,1,0,0,0
GovReady__govready-q,0,0,0,0,0,1,0,0,0
Gradiant__grad-ssikit-android,0,3,0,0,0,2,0,0,0
grafana__mimir,0,9,0,0,0,0,0,0,0
green-button__green-button.github.io,0,0,0,0,0,1,0,0,0
Green-Software-Foundation__champions,0,0,0,0,0,0,0,0,0
greenbrian__musical-spork,6,0,0,0,0,0,0,0,0
gremlin__CloudFormation-Resources,0,0,0,0,1,0,0,0,0
grommunio__grommunio-meet-mobile,0,0,0,0,0,0,0,0,0
GSA__sdg-data-usa-staging,0,0,0,0,0,1,0,0,0
gscho__setup-cloud-custodian,0,0,0,0,0,2,0,0,0
Guadalsurfers__bullshitmeter,0,0,0,0,0,2,0,0,0
gucio1200__home-infra,0,0,0,0,3,0,0,0,0
guidemetothemoon__tech-utils,0,0,0,0,0,0,0,1,0
GUILLEEBMX__UTN-CORDOBA,4,0,0,0,0,0,0,0,0
gustcol__Canivete,0,0,0,0,0,0,0,0,0
h3mmy__bloopySphere,0,0,0,0,18,0,0,0,0
haacked__haacked.com,0,0,0,0,0,1,0,0,0
hackercampcz__core,0,0,4,0,0,0,0,0,0
hagzag__just-do-it,0,0,0,0,0,0,0,1,0
haraldkoch__kochhaus-home,0,0,0,0,9,0,0,0,0
hardbyte__netchecks,0,0,0,0,1,0,0,0,0
harness-community__harnesscd-example-apps,0,0,0,0,1,0,0,0,0
harness-community__solutions-architecture,0,33,0,0,0,0,0,0,0
harsh4870__cloud-custodian,0,0,0,0,0,18,4,0,0
