full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
HarshalPatil412/jobApplicationPortal,False,True,False,False,False,False,False,False
Harshendu-Joshi/MoresandTask,False,True,False,False,False,False,False,False
HarunResitKarahan/Full-Stack-Bootcamp-Blog-App,False,True,False,False,False,False,False,False
Hayden0714/pizzablazorapp,False,True,False,False,False,False,False,False
Hemanthbugata/Hashicrop-Terraform,False,True,False,False,False,False,False,False
HenryRosario/Ocupaciones_Registro,False,True,False,False,False,False,False,False
HenryRosario/Registro_Ocupaciones,False,True,False,False,False,False,False,False
HenryRosario/Registro_Personas,False,True,False,False,False,False,False,False
HenryRosario/Tarea1Aplicada1,False,True,False,False,False,False,False,False
HenryRosario/Tarea1_Aplicada_1,False,True,False,False,False,False,False,False
HigoJhon/ERP,False,True,False,False,False,False,False,False
HirenPatel15620/Tatvasoft_Assignment,False,True,False,False,False,False,False,False
HoloLabInc/HoloLab.Immersal,False,True,False,False,False,False,False,False
HoloLabInc/ProjectSpirare-for-Unity,False,True,False,False,False,False,False,False
HoloLens-For-Paramedics/ARA,False,True,False,False,False,False,False,False
HoloMoto/MapSDK-forUnity-HoloLensApps,False,True,False,False,False,False,False,False
HorizonExplorer13/SYACTest,False,True,False,False,False,False,False,False
HouRuquan/echo_rest_api,True,False,False,False,False,False,False,False
HoudaifaBouamine/Bank_System_On_Team,False,True,False,False,False,False,False,False
HristoBogdanov/C-Exercises,False,True,False,False,False,False,False,False
Hudanurediz/.net_challenge,False,True,False,False,False,False,False,False
Hunter1725/EnterpriseWeb,False,True,False,False,False,False,False,False
HuuHoai2002/NghiemHuuHoai273,False,True,False,False,False,False,False,False
Hyperledger-TWGC/tape,True,False,False,False,False,False,False,False
IBM-Cloud/terraform-opa-ibm,True,False,False,False,False,False,False,False
IBM/ITBench-Scenarios,True,False,False,False,False,False,False,False
ICEI-PUC-Minas-PMV-ADS/CaoPortado,False,True,False,False,False,False,False,False
ICEI-PUC-Minas-PMV-ADS/pmv-ads-2022-2-e2-proj-int-t5-PetsON,False,True,False,False,False,False,False,False
ICEI-PUC-Minas-PMV-ADS/pmv-ads-2023-1-e2-proj-int-t5-grupo2,False,True,False,False,False,False,False,False
ICEI-PUC-Minas-PMV-ADS/pmv-ads-2023-1-e4-proj-infra-t2-vacina-tracker,False,True,False,False,False,False,False,False
ICEI-PUC-Minas-PMV-SInt/pmv-sint-2022-1-e3-proj-back-t1-time-2-ocorrencias-astronomicas,False,True,False,False,False,False,False,False
ICTServ/kb,True,False,False,False,False,False,False,False
IGNW/one-liners,False,True,False,False,False,False,False,False
IMD-Lab/GazeDataGetter_for_HL2,False,True,False,False,False,False,False,False
IPcaser/PizzaStore_.Net_6,False,True,False,False,False,False,False,False
IRVLUTD/HoloLens2ResearchTools,False,True,False,False,False,False,False,False
IRVLUTD/iTeach,False,True,False,False,False,False,False,False
IamJuanMi33/WebApiCasinoPIA,False,True,False,False,False,False,False,False
