full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper,contributors_count
HarshalPatil412/jobApplicationPortal,False,True,False,False,False,False,False,False,3
Harshendu-Joshi/MoresandTask,False,True,False,False,False,False,False,False,1
HarunResitKarahan/Full-Stack-Bootcamp-Blog-App,False,True,False,False,False,False,False,False,2
Hayden0714/pizzablazorapp,False,True,False,False,False,False,False,False,2
Hemanthbugata/Hashicrop-Terraform,False,True,False,False,False,False,False,False,6
HenryRosario/Ocupaciones_Registro,False,True,False,False,False,False,False,False,1
HenryRosario/Registro_Ocupaciones,False,True,False,False,False,False,False,False,1
HenryRosario/Registro_Personas,False,True,False,False,False,False,False,False,1
HenryRosario/Tarea1Aplicada1,False,True,False,False,False,False,False,False,1
HenryRosario/Tarea1_Aplicada_1,False,True,False,False,False,False,False,False,1
HigoJhon/ERP,False,True,False,False,False,False,False,False,1
HirenPatel15620/Tatvasoft_Assignment,False,True,False,False,False,False,False,False,1
HoloLabInc/HoloLab.Immersal,False,True,False,False,False,False,False,False,3
HoloLabInc/ProjectSpirare-for-Unity,False,True,False,False,False,False,False,False,2
HoloLens-For-Paramedics/ARA,False,True,False,False,False,False,False,False,1
HoloMoto/MapSDK-forUnity-HoloLensApps,False,True,False,False,False,False,False,False,1
HorizonExplorer13/SYACTest,False,True,False,False,False,False,False,False,1
HouRuquan/echo_rest_api,True,False,False,False,False,False,False,False,1
HoudaifaBouamine/Bank_System_On_Team,False,True,False,False,False,False,False,False,5
HristoBogdanov/C-Exercises,False,True,False,False,False,False,False,False,1
Hudanurediz/.net_challenge,False,True,False,False,False,False,False,False,2
Hunter1725/EnterpriseWeb,False,True,False,False,False,False,False,False,6
HuuHoai2002/NghiemHuuHoai273,False,True,False,False,False,False,False,False,1
Hyperledger-TWGC/tape,True,False,False,False,False,False,False,False,16
IBM-Cloud/terraform-opa-ibm,True,False,False,False,False,False,False,False,6
IBM/ITBench-Scenarios,True,False,False,False,False,False,False,False,7
ICEI-PUC-Minas-PMV-ADS/CaoPortado,False,True,False,False,False,False,False,False,7
ICEI-PUC-Minas-PMV-ADS/pmv-ads-2022-2-e2-proj-int-t5-PetsON,False,True,False,False,False,False,False,False,7
ICEI-PUC-Minas-PMV-ADS/pmv-ads-2023-1-e2-proj-int-t5-grupo2,False,True,False,False,False,False,False,False,6
ICEI-PUC-Minas-PMV-ADS/pmv-ads-2023-1-e4-proj-infra-t2-vacina-tracker,False,True,False,False,False,False,False,False,8
ICEI-PUC-Minas-PMV-SInt/pmv-sint-2022-1-e3-proj-back-t1-time-2-ocorrencias-astronomicas,False,True,False,False,False,False,False,False,5
ICTServ/kb,True,False,False,False,False,False,False,False,1
IGNW/one-liners,False,True,False,False,False,False,False,False,4
IMD-Lab/GazeDataGetter_for_HL2,False,True,False,False,False,False,False,False,1
IPcaser/PizzaStore_.Net_6,False,True,False,False,False,False,False,False,1
IRVLUTD/HoloLens2ResearchTools,False,True,False,False,False,False,False,False,1
IRVLUTD/iTeach,False,True,False,False,False,False,False,False,6
IamJuanMi33/WebApiCasinoPIA,False,True,False,False,False,False,False,False,1
Iamchaudharysudhir/CRUD,False,True,False,False,False,False,False,False,1
Ian-Lohan/SENAI-Desenvolvimento-API,False,True,False,False,False,False,False,False,1
Ian-McConihay/CSharpProject,False,True,False,False,False,False,False,False,1
IchaAgni/ASP.NET-Core-User-Interface,False,True,False,False,False,False,False,False,2
IdahoLabUnsupported/agn201_Digital_Twin,False,True,False,False,False,False,False,False,2
Idan-Shperling/gRPCServer,True,False,False,False,False,False,False,False,1
Identicum/opa-demoapi-spring,True,False,False,False,False,False,False,False,1
Ifeanyi-M/Countopedia,False,True,False,False,False,False,False,False,1
Ifeanyi-M/ToDoApi,False,True,False,False,False,False,False,False,1
Iliescu-Dorin/ASP.NET-Core-with-NUXT3,False,True,False,False,False,False,False,False,2
Imanda03/dot_net,False,True,False,False,False,False,False,False,1
ImenAouina/FullStack-Csharp,False,True,False,False,False,False,False,False,1
InesMsallem/airportManager,False,True,False,False,False,False,False,False,1
InfoToolsSV/CRUD-DAPPER-MSSQL-ASP.NET-CORE-MVC-.NET-6,False,True,False,False,False,False,False,False,1
Interactions-HSG/2024-HS-MCS-UbiComp-Public,False,True,False,False,False,False,False,False,9
Interactions-HSG/21-MT-JanickSpirig-Workforce-DC,False,True,False,False,False,False,False,False,1
Interactions-HSG/NeighboAR,False,True,False,False,False,False,False,False,2
Ionut9902/ProiectulFinal,False,True,False,False,False,False,False,False,1
IrfanKhalid/shoppingCartWithMicroservices,False,True,False,False,False,False,False,False,2
Ismael-Gabri/Segunda-Escola-BackEnd,False,True,False,False,False,False,False,False,1
Ismarlynmh/CryptoApiapl2,False,True,False,False,False,False,False,False,1
Israel-Junqueira/EF_entregaRapida,False,True,False,False,False,False,False,False,1
Israel-Junqueira/Projeto-LocalBus-View,False,True,False,False,False,False,False,False,2
IvanParvanovski/SoftUniPractice,False,True,False,False,False,False,False,False,2
IvanSalovProg/OnlineChat,False,True,False,False,False,False,False,False,1
IvanovskiStefan/PizzaApp,False,True,False,False,False,False,False,False,1
JBC-LBP-LLC/ADO-Demo,False,True,False,False,False,False,False,False,2
JBC-LBP-LLC/GitHub-Actions-Demo,False,True,False,False,False,False,False,False,2
JCSIVO/Open-BootCamp-Exercises,False,True,False,False,False,False,False,False,1
JCSIVO/Project-NET-University,False,True,False,False,False,False,False,False,1
JManders07/Portfolio-s3,False,True,False,False,False,False,False,False,1
JPO44/Atividade-04,False,True,False,False,False,False,False,False,1
JPedroCSz/Atividade-senai-apiContext-CRUD,False,True,False,False,False,False,False,False,1
JPedroCSz/Atividade-senai-apiContext-CRUD-Usuarios,False,True,False,False,False,False,False,False,1
JPedroCSz/Atividade-senai-apiContext-Get,False,True,False,False,False,False,False,False,1
JPedroCSz/Atividade-senai-apiContext-Login_Cors,False,True,False,False,False,False,False,False,1
JPurcellHCP/terraform-tfe-jpp-landingzone,False,True,False,False,False,False,False,False,1
