full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
barringtonhaynes/lambda-extension-opa,True,False,False,False,False,False,False,False
barrosoj/atlantis,True,False,False,False,False,False,False,False
basavarajbhavi/Catalog-app-dotnet-code-nodejs,False,True,False,False,False,False,False,False
basavyr/python-azure-pipelines,False,True,False,False,False,False,False,False
basavyr/python-classes,False,True,False,False,False,False,False,False
basrioglumehmet/Ecommerce,False,True,False,False,False,False,False,False
basusaswata/scribe_sample_policy,True,False,False,False,False,False,False,False
bborkowsp/Programming-mobile-and-web-applications,False,True,False,False,False,False,False,False
becojo/adventofcode,True,False,False,False,False,False,False,False
becojo/ctf-challenges,True,False,False,False,False,False,False,False
bedriyekoc/pinpoint-call,False,True,False,False,False,False,False,False
beepdot/opa-demo,True,False,False,False,False,False,False,False
bejaouibechir/Doranco,False,True,False,False,False,False,False,False
benjaminsqlserver/BookStoreAngularWithWebAPI,False,True,False,False,False,False,False,False
benjaminsqlserver/VirtualFootballLeague,False,True,False,False,False,False,False,False
benlaplanche/iac-tfplan-demo,True,False,False,False,False,False,False,False
benlaplanche/snyky,True,False,False,False,False,False,False,False
benskosa/visual-saliency-mediapipe,False,True,False,False,False,False,False,False
berchevorg/sentinel-terraform,False,True,False,False,False,False,False,False
berchevorg/sentinel-test,False,True,False,False,False,False,False,False
besley/Slickflow,False,True,False,False,False,False,False,False
bethel-school-of-technology/team-kairos-backend,False,True,False,False,False,False,False,False
bhtruong93/dropdown-bug,False,True,False,False,False,False,False,False
bhumi259/AngularTopicwiseProjects,False,True,False,False,False,False,False,False
bianchidotdev/opa_suite,True,False,False,False,False,False,False,False
billysb/cscommunity,False,True,False,False,False,False,False,False
bin549/Hologram-Chemistry-Lab,False,True,False,False,False,False,False,False
biologomiguel/senai-uc9-projetoweb-lh-pets,False,True,False,False,False,False,False,False
bisaacson100/BlazorDotNet6,False,True,False,False,False,False,False,False
biswarup14/CRUD-Employee-Management-Basic,False,True,False,False,False,False,False,False
biu8bo/WeChatPayApiV3,False,True,False,False,False,False,False,False
blackletum/pf2c-src,False,True,False,False,False,False,False,False
blairdrummond/pre-commit-deno,True,False,False,False,False,False,False,False
blekane/Devopseasylearning,False,True,False,False,False,False,False,False
blossom-agit/docker,True,False,False,False,False,False,False,False
bluebrown/opa-every-with-issue,True,False,False,False,False,False,False,False
bluebrown/opa-issue-overlapping-roots,True,False,False,False,False,False,False,False
bluecusliyou/TechLearn,False,True,False,False,False,False,False,False
bluehawana/Cloud-Publish-Docker-MongoDb-CosmosDb,False,True,False,False,False,False,False,False
bmediato/tryHotel,False,True,False,False,False,False,False,False
bmf-san/poc-opa-access-control-system,True,False,False,False,False,False,False,False
bobbycoleman-dev/Dotnet-DateValidator,False,True,False,False,False,False,False,False
bobbycoleman-dev/Dotnet-DojoSurvery,False,True,False,False,False,False,False,False
bobbycoleman-dev/Dotnet-FormSubmission,False,True,False,False,False,False,False,False
bobbycoleman-dev/Dotnet-SessionWorkshop,False,True,False,False,False,False,False,False
bobbycoleman-dev/Dotnet-ViewModelFun,False,True,False,False,False,False,False,False
bobbycoleman-dev/ORM-ChefsNDishes,False,True,False,False,False,False,False,False
bolivar014/WebAPI_.NET,False,True,False,False,False,False,False,False
bolivar014/apis_net,False,True,False,False,False,False,False,False
boostsecurityio/poutine,True,False,False,False,False,False,False,False
bootpay/backend-dotnet,False,True,False,False,False,False,False,False
borgeby/jarl,True,False,False,False,False,False,False,False
boughanmiyoussef/Coding-Dojo,False,True,False,False,False,False,False,False
breymander/sentinel-training,False,True,False,False,False,False,False,False
bridgecrewio/TFE-sentinel-policy-set,False,True,False,False,False,False,False,False
brlekmarko/pivoteka,False,True,False,False,False,False,False,False
brnmnz/authentication-service,False,True,False,False,False,False,False,False
brnmnz/shopcart-service,False,True,False,False,False,False,False,False
brunno26/atividade-api-get,False,True,False,False,False,False,False,False
brunoCarvalhoJr/LoginGoogleApi,False,True,False,False,False,False,False,False
brunof-vieira/Atividade_10b,False,True,False,False,False,False,False,False
brunotavaresz/ITW,False,True,False,False,False,False,False,False
bryceikeda/PRogramAR,False,True,False,False,False,False,False,False
btkrausen/hashicorp,False,True,False,False,False,False,False,False
buchimgari5408/Harshicorp,False,True,False,False,False,False,False,False
bufaonanet/FastEndpointTutorial,False,True,False,False,False,False,False,False
burkayelbek/GameMVPCalculator,False,True,False,False,False,False,False,False
busenursahin/dotnet-webapi-jwt-auth,False,True,False,False,False,False,False,False
busraak/RESTFUL,False,True,False,False,False,False,False,False
busraylmz/DeepLearningModelVisualization,False,True,False,False,False,False,False,False
buzduganalex1/CloudTraining,False,True,False,False,False,False,False,False
buzzdead/ElKomplett,False,True,False,False,False,False,False,False
bwarthur/DemoSln,False,True,False,False,False,False,False,False
byksy/PizzaStore,False,True,False,False,False,False,False,False
byksy/PizzaStore_EF,False,True,False,False,False,False,False,False
byzkho/Carwash,False,True,False,False,False,False,False,False
cagdask61/nArchitecture,False,True,False,False,False,False,False,False
caglarhekimci/Net5MiddlewaresExamples,False,True,False,False,False,False,False,False
