full_name,HashiCorp Sentinel,Open Policy Agent (OPA),Pulumi,Cedar Policy Language (CPL),Kyverno OSS,Cloud Custodian,AWS Config,GateKeeper,Kubewarden
CrunchyData/postgres-operator,0,0,0,0,2,0,0,0,0
cvat-ai/cvat,0,24,0,0,0,0,0,0,0
dadrus/heimdall,0,1,0,0,0,0,0,0,0
DaoCloud/dce-charts-repackage,0,3,0,0,3,0,0,0,0
DataBassGit/AssistAF,0,0,0,0,0,1,0,0,0
DataDog/security-agent-policies,0,98,0,0,0,0,0,0,0
datreeio/CRDs-catalog,0,0,0,0,1,0,0,0,0
deckhouse/deckhouse,0,0,0,0,0,0,0,39,0
defenseunicorns/lula,0,4,0,0,0,2,0,0,0
deliciousmods/1956_beta,0,0,0,0,0,3,0,0,0
deliveryhero/helm-charts,0,6,0,0,0,0,0,0,0
dell/helm-charts,0,18,0,0,0,0,0,0,0
dell/karavi-authorization,0,8,0,0,0,0,0,0,0
denniszielke/container_demos,0,5,0,0,0,0,0,2,0
department-of-veterans-affairs/vets-website,0,0,0,0,0,2,0,0,0
deployKF/deployKF,0,0,0,0,15,0,0,0,0
devopscert202/k8sforbeginners,0,0,0,0,0,0,0,1,0
devtron-labs/utilities,0,0,0,0,4,0,0,0,0
devxp-tech/gitops,0,0,0,0,1,0,0,0,0
diranetafen/cursus-devops,0,0,0,0,1,0,0,0,0
dmwm/CMSKubernetes,0,0,0,0,0,0,0,38,0
dnsimple/dnsimple-api-examples,1,0,0,0,0,0,0,0,0
duneanalytics/spellbook,0,0,0,0,0,1,0,0,0
EaW-Team/equestria_dev,0,0,0,0,0,15,0,0,0
Eclipse-Station/NEV-Northern-Light,0,0,0,0,0,4,0,0,0
eclipse-symphony/symphony,0,0,0,0,0,0,0,1,0
eclipse-tractusx/portal,0,0,0,0,0,9,0,0,0
edgelesssys/contrast,0,4,0,0,0,0,0,0,0
educates/educates-training-platform,0,0,0,0,11,0,0,0,0
eksctl-io/eksctl,0,0,0,0,3,0,2,0,0
elastic/cloud-on-k8s,0,0,0,0,3,0,0,0,0
elastic/cloudbeat,0,762,0,0,0,0,0,0,0
elastic/harp,0,4,0,0,0,0,0,0,0
elastisys/compliantkubernetes-apps,0,22,0,0,5,0,0,30,0
element-hq/matrix-authentication-service,0,11,0,0,0,0,0,0,0
enterprise-contract/ec-cli,0,35,0,0,0,0,0,0,0
enterprise-contract/ec-policies,0,142,0,0,0,0,0,0,0
env0/acme-demo,0,1674,2,0,0,0,5,0,0
env0/acme-fitness,0,4,0,0,0,0,0,0,0
env0/templates,0,3,3,0,0,0,0,0,0
erkules/k8sworkshop,0,0,0,0,18,0,0,10,0
fabianlee/blogcode,0,0,0,0,2,0,0,0,0
factset/enterprise-sdk,0,0,0,0,0,3,0,0,0
fits/try_samples,0,0,4,0,0,0,0,0,0
FIWARE/keycloak-vc-issuer,0,0,0,0,0,1,0,0,0
fjudith/saltstack-kubernetes,0,0,0,0,0,0,0,2,0
fleetdm/fleet,0,2,0,0,0,0,0,0,0
fluxcd/flux2-multi-tenancy,0,0,0,0,2,0,0,0,0
gardener/gardener,0,0,0,0,4,4,0,0,0
GeoscienceAustralia/dea-knowledge-hub,0,0,0,0,0,77,0,0,0
getgrit/gritql,0,0,0,0,0,3,0,0,0
ghostunnel/ghostunnel,0,3,0,0,0,0,0,0,0
github/codeql,0,0,0,0,0,1,0,0,0
GoogleCloudPlatform/anthos-config-management-samples,0,0,0,0,0,0,0,6,0
GoogleCloudPlatform/click-to-deploy,0,0,0,0,0,0,0,1,0
GoogleCloudPlatform/pbmm-on-gcp-onboarding,0,3,0,0,0,0,0,81,0
GoogleCloudPlatform/professional-services,0,8,0,0,0,0,0,28,0
GoogleCloudPlatform/pubsec-declarative-toolkit,0,0,0,0,0,0,0,11,0
GoogleCloudPlatform/solution-acceleration-toolkit,0,3,0,0,0,0,0,98,0
GoogleCloudPlatform/terraform-google-enterprise-genai,0,0,0,0,0,0,0,0,0
GoogleCloudPlatform/terraform-google-secured-data-warehouse,0,3,0,0,0,0,0,81,0
GoogleContainerTools/kpt-config-sync,0,0,0,0,0,0,0,11,0
google/gke-policy-automation,0,187,0,0,0,0,0,0,0
google/oss-fuzz,0,0,0,0,0,1,0,0,0
grafana/mimir,0,9,0,0,0,0,0,0,0
h3mmy/bloopySphere,0,0,0,0,18,0,0,0,0
haacked/haacked.com,0,0,0,0,0,1,0,0,0
haraldkoch/kochhaus-home,0,0,0,0,9,0,0,0,0
harness-community/harnesscd-example-apps,0,0,0,0,1,0,0,0,0
harness-community/solutions-architecture,0,33,0,0,0,0,0,0,0
hashicorp/policy-library-aws-networking-terraform,12,0,0,0,0,0,0,0,0
hashicorp/sentinel-sdk,3,0,0,0,0,0,0,0,0
hashicorp/terraform-sentinel-policies,386,0,0,0,0,0,0,0,0
hashintel/hash,0,0,0,7,0,0,0,0,0
hexikani/pulsechain-projects,0,0,0,0,0,2,0,0,0
hitcherland/FoundryVTT-Heart,0,0,0,0,0,1,0,0,0
hmrc/address-lookup,0,0,0,0,0,0,0,0,0
hogeschool/webdev-semester,2,0,0,0,0,0,0,0,0
huaweicloud/cloud-custodian,0,0,0,0,0,93,5,0,0
Hyperledger-TWGC/tape,0,2,0,0,0,0,0,0,0
iann0036/former2,0,0,1,0,0,0,1,0,0
iann0036/iamlive,0,0,0,0,0,0,6,0,0
IBM/portieris,0,0,0,0,0,0,0,0,0
ietf-tools/relaton-data-ids,0,0,0,0,0,28,0,0,0
igniterealtime/openfire-ofmeet-plugin,0,0,0,0,0,0,0,0,0
iits-consulting/charts,0,0,0,0,9,0,0,0,0
intelops/genval,0,26,0,0,1,0,0,0,0
intel/policy-library-intel-aws,49,0,0,0,0,0,0,0,0
intel/SGXDataCenterAttestationPrimitives,0,1,0,0,0,0,0,0,0
invinst/chicago-police-data,0,0,0,0,0,0,0,0,0
ioggstream/python-course,0,1,0,0,0,0,0,0,0
islet-project/islet,0,2,0,0,0,0,0,0,0
jixiuf/vmacs,0,0,0,0,0,0,0,0,0
JJGadgets/Biohazard,0,0,0,0,7,0,0,0,0
jouve/charts,0,0,0,0,0,0,0,47,0
jpetazzo/container.training,0,0,0,0,10,0,0,0,0
juspay/hyperswitch-card-vault,0,0,0,0,0,2,0,0,0
k8s-operatorhub/community-operators,0,0,0,0,12,0,0,0,0
kata-containers/kata-containers,0,5,0,0,0,0,0,0,0
kcl-lang/modules,0,0,0,0,2,0,0,3,0
kdash-rs/kdash,0,0,0,0,0,0,0,0,0
killer-sh/cks-course-environment,0,3,0,0,0,0,0,5,0
komodorio/komoplane,0,0,0,0,1,0,0,0,0
kondukto-io/kntrl,0,11,0,0,0,0,0,0,0
konfig-dev/konfig,0,0,0,0,0,0,0,0,0
konflux-ci/konflux-test,0,19,0,0,0,0,0,0,0
kro-run/kro,0,0,0,0,2,0,0,0,0
kubearmor/KubeArmor,0,0,0,0,26,0,0,0,0
kubermatic/kubermatic,0,0,0,0,0,0,0,5,0
kubernetes-sigs/wg-policy-prototypes,0,0,0,0,8,0,0,0,0
kubescape/regolibrary,0,346,0,0,0,0,0,0,0
kubeshield/bpf-opa-demo,0,4,0,0,0,0,0,0,0
kubesphere/ks-installer,0,0,0,0,0,0,0,2,0
kubev2v/forklift,0,170,0,0,0,0,0,0,0
kubewarden/helm-charts,0,0,0,0,1,0,0,0,17
kubewarden/policy-evaluator,0,10,0,0,0,0,0,0,0
kyma-project/test-infra,0,0,0,0,0,0,0,14,0
kyverno/demos,0,0,0,0,79,0,0,0,0
kyverno/kyverno,0,0,0,0,952,0,0,0,0
kyverno/playground,0,0,0,0,13,0,0,0,0
kyverno/policies,0,0,0,0,1184,0,0,0,0
kyverno/policy-reporter,0,0,0,0,4,0,0,0,0
Legit-Labs/legitify,0,15,0,0,0,0,0,0,0
loft-sh/jspolicy,0,0,0,0,1,0,0,0,0
Loongson-Cloud-Community/dockerfiles,1,0,0,0,0,0,0,4,0
luminartech/helm-charts-public,0,0,0,0,1,0,0,0,0
m-mizutani/ghnotify,0,6,0,0,0,0,0,0,0
m9sweeper/m9sweeper,0,0,0,0,0,0,0,29,0
magda-io/magda,0,74,0,0,0,1,0,0,0
materialsproject/custodian,0,0,0,0,0,3,0,0,0
mattclay/aws-terminator,0,0,0,0,1,0,0,0,0
Mellanox/network-operator,0,0,0,0,17,0,0,0,0
memo33/sc4pac,0,0,0,0,0,2,0,0,0
meshery/meshery,0,20,0,0,0,0,0,0,0
mesosphere/kommander-applications,0,0,0,0,1,0,0,2,0
metio/kube-custom-resources-rs,0,0,0,0,10,0,0,4,0
MicrosoftEdge/WebView2Samples,1,0,0,0,0,0,0,0,0
microsoft/all-things-azure,0,0,0,0,1,0,0,0,0
microsoft/azuredatastudio,0,0,0,0,0,0,9,0,0
microsoft/dsl-copilot,0,0,0,0,0,1,0,0,0
microsoft/hcsshim,0,14,0,0,0,0,0,0,0
microsoft/OpenXR-Unity-MixedReality-Samples,6,0,0,0,0,0,0,0,0
microsoft/rego-cpp,0,29,0,0,0,0,0,0,0
microsoft/regorus,0,26,0,0,0,0,0,0,0
ministryofjustice/cloud-platform-environments,0,24,0,0,0,0,0,0,0
ministryofjustice/modernisation-platform,0,14,0,0,0,0,0,0,0
mongodb/mongodb-enterprise-kubernetes,0,0,0,0,0,0,0,7,0
mongodb/terraform-provider-mongodbatlas,0,0,0,0,0,0,0,0,0
MoreEventsMod/More_Events_Mod_Beta,0,0,0,0,0,5,0,0,0
nakamasato/kubernetes-training,0,7,0,0,0,0,0,4,0
Near-One/eth-connector,0,0,0,0,0,2,0,0,0
negz/crossplane-scale,0,0,0,0,1,0,0,0,0
netscaler/cloud-native-getting-started,0,0,0,0,0,0,0,1,0
netscaler/netscaler-k8s-ingress-controller,0,0,0,0,0,0,0,7,0
networkservicemesh/sdk,0,9,0,0,0,0,0,0,0
Neurone/stellaris-italian-translation,0,0,0,0,0,41,0,0,0
Neutrollized/free-tier-gke,0,0,0,0,6,0,0,2,0
NewbMiao/opa-koans,0,17,0,0,0,0,0,0,0
nirmata/kyverno-charts,0,0,0,0,32,0,0,0,0
nirmata/kyverno-policies,0,0,0,0,284,0,0,0,0
nscuro/dtapac,0,7,0,0,0,0,0,0,0
NVIDIA/cloud-native-stack,0,0,0,0,1,0,0,0,0
NVIDIA/gpu-operator,0,0,0,0,78,0,0,0,0
okteto/okteto,1,0,0,0,0,0,0,0,0
ollionorg/gcp-landing-zone,0,215,0,0,0,0,0,136,0
ONSdigital/sdg-data,0,0,0,0,0,2,0,0,0
open-cluster-management-io/governance-policy-framework-addon,0,0,0,0,0,0,0,14,0
open-cluster-management-io/policy-collection,0,8,0,0,91,0,0,21,0
open-cluster-management-io/policy-generator-plugin,0,0,0,0,1,0,0,1,0
open-policy-agent/cert-controller,0,0,0,0,0,0,0,0,0
open-policy-agent/conftest,0,74,0,0,0,0,0,0,0
open-policy-agent/contrib,0,48,0,0,0,0,0,0,0
open-policy-agent/frameworks,0,2,0,0,0,0,0,4,0
open-policy-agent/gatekeeper,0,10,0,0,0,0,0,57,0
open-policy-agent/gatekeeper-library,0,134,0,0,0,0,0,187,0
open-policy-agent/npm-opa-wasm,0,12,0,0,0,0,0,0,0
open-policy-agent/opa,0,98,0,0,0,0,0,0,0
open-policy-agent/opa-docker-authz,0,3,0,0,0,0,0,0,0
open-policy-agent/opa-envoy-plugin,0,1,0,0,0,0,0,0,0
open-policy-agent/opa-idea-plugin,0,56,0,0,0,0,0,0,0
open-sdg/open-sdg,0,0,0,0,0,5,0,0,0
open-sdg/open-sdg-data-starter,0,0,0,0,0,1,0,0,0
open-sdg/sdg-translations,0,0,0,0,0,27,0,0,0
open-telemetry/semantic-conventions,0,10,0,0,0,0,0,0,0
open-telemetry/weaver,0,19,0,0,0,0,0,0,0
openshift/managed-cluster-config,0,0,0,0,0,0,0,0,0
opensource-observer/oss-directory,0,0,0,0,0,1,0,0,0
oracle-devrel/cd3-automation-toolkit,0,31,0,0,0,0,0,0,0
oscal-compass/compliance-to-policy,0,0,0,0,0,0,0,0,0
oss-compass/compass-projects-information,0,0,0,0,0,1,0,0,0
ossf/alpha-omega,0,949,0,0,0,0,0,0,0
OT-CONTAINER-KIT/redis,1,0,0,0,0,0,0,0,0
oxyno-zeta/s3-proxy,0,1,0,0,0,0,0,0,0
pachyderm/pachyderm,0,0,0,0,0,0,0,9,0
PacktPublishing/Kubernetes-An-Enterprise-Guide-Third-Edition,0,12,0,0,0,0,0,4,0
PacktPublishing/Terraform-Cookbook-Second-Edition,3,2,0,0,0,0,0,0,0
Parsifal-M/backstage-opa-plugins,0,5,0,0,0,0,0,0,0
patternfly-labs/react-form-wizard,0,0,0,0,3,0,0,0,0
pbom-dev/OSCAR,0,0,0,0,0,1,0,0,0
percona/percona-postgresql-operator,0,0,0,0,2,0,0,0,0
permitio/opal,0,7,0,0,0,0,0,0,0
permitio/opal-example-policy-repo,0,2,0,1,0,0,0,0,0
PlanB-Network/bitcoin-educational-content,0,0,0,0,0,20,0,0,0
plexsystems/konstraint,0,63,0,0,0,0,0,26,0
pokepay/aws-sdk-lisp,0,0,0,0,0,0,13,0,0
portefaix/portefaix-hub,0,0,0,0,12,0,0,0,3
prancer-io/prancer-compliance-test,0,384,0,0,0,0,0,0,0
Privado-Inc/privado,0,0,0,0,0,1,0,0,0
projectcontour/contour,0,0,0,0,0,0,0,11,0
PTG-Kitware/angel_system,3,0,0,0,0,0,0,0,0
pulumi/automation-api-examples,0,0,19,0,0,0,0,0,0
pulumi/docs,0,0,185,0,0,0,0,0,0
pulumi/examples,0,0,274,0,0,0,0,0,0
pulumi/pulumi,0,0,1,0,0,0,0,0,0
pulumi/pulumi-policy,0,0,56,0,0,0,0,0,0
pulumi/pulumi-self-hosted-installers,0,0,116,0,0,0,0,0,0
pulumi/templates,0,0,69,0,0,0,0,0,0
radius-project/bicep-types-aws,0,0,0,0,0,0,0,0,0
RafaySystems/getstarted,0,0,0,0,0,0,0,56,0
RafaySystems/terraform-provider-rafay,0,0,0,0,0,0,0,1,0
raffaelespazzoli/openshift-enablement-exam,0,0,0,0,7,0,0,2,0
rancher/charts,0,0,0,0,0,0,0,45,0
rancher/kubewarden-ui,0,0,0,0,1,0,0,0,4
rancher/rancher,0,0,0,0,0,2,0,0,0
redhat-ai-services/ai-accelerator,0,0,0,0,9,0,0,0,0
redhat-appstudio/infra-deployments,0,0,0,0,6,0,0,0,0
redhat-cop/rego-policies,0,60,0,0,0,0,0,0,0
redhat-na-ssa/hobbyist-guide-to-rhoai,0,0,0,0,2,0,0,0,0
redhat-openshift-ecosystem/certified-operators,0,0,0,0,144,0,0,0,0
redhat-openshift-ecosystem/community-operators-prod,0,0,0,0,0,0,0,0,0
replicatedhq/kURL,0,8,0,0,0,0,0,0,0
reply-fr/sustainable-personal-accounts,0,0,0,0,0,0,0,0,0
Resourcely-Inc/cloud-guardrails,0,0,0,0,0,0,0,0,0
RHsyseng/telco-operations,0,2,0,0,5,0,0,1,0
rond-authz/rond,0,5,0,0,0,0,0,0,0
run-ai/fake-gpu-operator,0,0,0,0,0,0,0,0,0
russolsen/ham_radio_question_pool,0,0,0,0,0,2,0,0,0
SamYuan1990/Probe,0,3,0,0,0,0,0,0,0
sapcc/helm-charts,0,5,0,0,0,0,0,24,0
SAP/InfraBox,0,24,0,0,0,0,0,0,0
saturnhead/blog-examples,0,1,0,0,0,0,0,0,0
Scalr/sample-tf-opa-policies,0,62,0,0,0,0,0,0,0
schrutek/SPG_POS,1,0,0,0,0,0,0,0,0
ScottLogic/blog,0,0,0,0,0,1,0,0,0
semaphoreio/semaphore,0,6,0,0,0,0,0,0,0
sergueik/springboot_study,360,0,0,0,0,0,0,0,0
ShanguUncle/UnityChatHololens,4,0,0,0,0,0,0,0,0
shortlink-org/shortlink,0,0,0,0,88,0,0,0,0
Shuffle/python-apps,0,0,0,0,0,1,0,0,0
sixeyed/kiamol,0,0,0,0,0,0,0,7,0
snyk/kubernetes-monitor,0,1,0,0,0,0,0,0,0
snyk/policy-engine,0,40,0,0,0,0,0,0,0
snyk/snyk-iac-rules,0,19,0,0,0,0,0,0,0
solo-io/hoot,0,6,0,0,0,0,0,0,0
spacelift-io/spacelift-policies-example-library,0,134,0,0,0,0,0,0,0
sphenlee/waterwheel,0,1,0,0,0,0,0,0,0
spidernet-io/egressgateway,0,0,0,0,2,0,0,0,0
spinnaker/spinnaker.io,0,0,0,0,1,0,0,0,0
sst/sst,0,0,137,0,0,0,0,0,0
star3am/hashiqube,14,0,0,0,0,0,0,0,0
startxfr/helm-repository,0,0,0,0,4,0,0,0,0
statnett/image-scanner-operator,0,0,0,0,2,0,0,0,0
stellar-expert/stellar-expert-explorer,0,0,0,0,0,1,0,0,0
StyraInc/opa-aws-cloudformation-hook,0,29,0,0,0,0,0,0,0
StyraInc/regal,0,277,0,0,0,0,0,0,0
Sunbird-Lern/userorg-service,0,2,0,0,0,4,0,0,0
suzuki-shunsuke/tfaction,0,1,0,0,0,0,0,0,0
swgriffith/azure-guides,0,0,0,0,0,0,0,3,0
synmetrix/synmetrix,0,0,7,0,0,0,0,0,0
sysnet4admin/IaC,0,0,0,0,0,0,0,0,0
tenable/terrascan,0,350,0,0,1,0,0,0,0
terraform-google-modules/terraform-example-foundation,0,3,0,0,0,0,0,81,0
tigera-solutions/calicocloud-kaas-workshop-demo,0,0,0,0,0,0,0,2,0
tilt-dev/tilt-extensions,0,0,1,0,0,0,0,0,0
toboshii/home-ops,0,0,0,0,4,0,0,0,0
topmonks/hlidac-shopu,0,0,5,0,0,0,0,0,0
trendmicro/cloudone-container-security-helm,0,0,0,0,2,0,0,0,0
trevorbox/service-mesh-patterns,0,0,0,0,0,0,0,3,0
TrueTechLabs/fabric-trace,0,2,0,0,0,0,0,0,0
TwitchPlaysPokemon/pbr-movesets,0,0,0,0,0,0,0,0,0
uhhhci/immersive-ngp,2,0,0,0,0,0,0,0,0
UNINETTSigma2/helm-charts,0,4,0,0,0,0,0,0,0
veraison/services,0,0,0,0,0,0,0,0,0
VergeOps/k8s-rvstore,0,0,0,0,0,0,0,2,0
vfarcic/cncf-demo,0,0,0,0,4,1,0,3,1
vfiftyfive/dadjokes,0,0,0,0,1,0,0,0,0
Vikaspogu/openshift-multicluster,0,0,0,0,9,0,0,0,0
ViktorUJ/cks,0,0,0,0,0,0,0,3,0
vmware-tanzu/kubeapps,0,0,0,0,0,1,0,0,0
vmware/dod-compliance-and-automation,0,0,0,0,0,0,0,18,0
vrk-kpa/opendata,0,0,0,0,0,1,0,0,0
walt-id/waltid-ssikit,0,6,0,0,0,2,0,0,0
web3infra-foundation/mega,0,0,0,1,0,0,0,0,0
web3privacy/explorer-data,0,0,0,0,0,1,0,0,0
webiny/webiny-js,0,0,73,0,0,0,0,0,0
whchoi98/myeks,0,0,0,0,0,0,0,0,0
wkspower/wks-platform,0,14,0,0,0,0,0,0,0
worldbank/sdg-metadata,0,0,0,0,0,80,0,0,0
X-lab2017/open-digger,0,0,0,0,0,4,0,0,0
XgridInc/xc3,0,0,0,0,0,7,0,0,0
yeo/betterdev.link,0,0,0,0,0,1,0,0,0
ZUGFeRD/quba-viewer,0,0,0,0,0,0,3,0,0
